"","Hugo_Symbol","n_pts","n_tumor_samples"
"244","ADAM30",1,1
"245","ADAM32",2,2
"246","ADAM33",1,1
"247","ADAM7",3,3
"248","ADAM8",2,2
"249","ADAM9",2,2
"250","ADAMDEC1",5,6
"251","ADAMTS1",1,1
"252","ADAMTS10",3,4
"253","ADAMTS12",8,8
"254","ADAMTS13",2,2
"255","ADAMTS14",1,1
"256","ADAMTS15",2,2
"257","ADAMTS16",7,7
"258","ADAMTS17",2,2
"259","ADAMTS18",3,3
"260","ADAMTS19",3,3
"261","ADAMTS2",6,6
"262","ADAMTS20",3,3
"263","ADAMTS3",3,4
"264","ADAMTS5",3,3
"265","ADAMTS6",2,2
"266","ADAMTS7",1,1
"267","ADAMTS9",4,4
"268","ADAMTSL1",3,3
"269","ADAMTSL2",2,2
"270","ADAMTSL3",2,2
"271","ADAMTSL4",1,1
"272","ADAMTSL5",1,1
"273","ADAR",1,1
"274","ADARB1",2,3
"275","ADARB2",2,2
"276","ADAT1",2,2
"277","ADCK1",2,2
"278","ADCK5",2,2
"279","ADCY1",4,6
"280","ADCY10",5,6
"281","ADCY2",1,1
"282","ADCY3",3,3
"283","ADCY4",1,1
"284","ADCY5",3,3
"285","ADCY6",3,4
"286","ADCY7",4,4
"287","ADCY8",4,4
"288","ADCY9",4,4
"289","ADCYAP1",2,2
"290","ADCYAP1R1",2,3
"291","ADD1",3,3
"292","ADD2",2,2
"293","ADD3",2,2
"294","ADGRA2",2,2
"295","ADGRA3",2,2
"296","ADGRB1",1,1
"297","ADGRB2",3,3
"298","ADGRB3",3,3
"299","ADGRD1",3,3
"300","ADGRE1",2,2
"301","ADGRE2",4,4
"302","ADGRE3",2,3
"303","ADGRF1",1,1
"304","ADGRF2",1,1
"305","ADGRF3",2,2
"306","ADGRF4",1,1
"307","ADGRF5",4,4
"308","ADGRG1",2,2
"309","ADGRG2",3,3
"310","ADGRG4",8,10
"311","ADGRG5",2,2
"312","ADGRG6",3,3
"313","ADGRG7",1,1
"314","ADGRL1",1,1
"315","ADGRL2",2,2
"316","ADGRL3",5,5
"317","ADGRL4",1,1
"318","ADGRV1",9,9
"319","ADH1A",3,3
"320","ADH1B",1,1
"321","ADH1C",3,3
"322","ADH4",1,1
"323","ADH5",1,1
"324","ADH6",4,4
"325","ADH7",1,1
"326","ADI1",1,1
"327","ADIPOQ",1,1
"328","ADM",2,2
"329","ADM2",1,1
"330","ADNP2",3,3
"331","ADO",1,1
"332","ADORA1",2,2
"333","ADORA2A",1,1
"334","ADPGK",2,2
"335","ADPRH",1,1
"336","ADPRHL1",1,1
"337","ADPRM",2,2
"338","ADRA1A",2,2
"339","ADRA1B",3,4
"340","ADRA2C",1,1
"341","ADRB1",1,1
"342","ADRB2",1,1
"343","ADSS2",1,1
"344","AEBP1",3,3
"345","AFAP1",2,2
"346","AFAP1L2",3,4
"347","AFDN",5,6
"348","AFF2",6,7
"349","AFF3",2,2
"350","AFF4",1,1
"351","AFG1L",2,2
"352","AFG3L2",2,2
"353","AFM",6,7
"354","AFMID",1,1
"355","AFP",3,4
"356","AFTPH",1,1
"357","AGA",1,1
"358","AGAP2",1,1
"359","AGAP3",4,5
"360","AGAP4",1,1
"361","AGAP6",2,2
"362","AGBL1",2,2
"363","AGBL2",1,1
"364","AGBL4",1,2
"365","AGBL5",1,1
"366","AGFG1",2,2
"367","AGFG2",2,2
"368","AGK",1,1
"369","AGL",2,2
"370","AGMO",4,4
"371","AGO1",1,1
"372","AGO2",2,2
"373","AGO3",1,1
"374","AGPAT2",1,1
"375","AGPAT3",1,1
"376","AGPAT4",4,4
"377","AGRN",6,7
"378","AGT",2,2
"379","AGTPBP1",2,2
"380","AGTR1",2,2
"381","AGTR2",1,1
"382","AGTRAP",1,1
"383","AGXT2",4,5
"384","AHCTF1",4,5
"385","AHCY",1,1
"386","AHCYL1",3,4
"387","AHDC1",5,5
"388","AHI1",2,2
"389","AHNAK",2,2
"390","AHNAK2",13,16
"391","AHR",4,5
"392","AHRR",1,1
"393","AHSA1",2,2
"394","AHSG",1,1
"395","AICDA",4,5
"396","AIDA",2,2
"397","AIF1",1,1
"398","AIFM1",2,2
"399","AIFM2",1,1
"400","AIFM3",1,1
"401","AIG1",1,1
"402","AIMP1",1,1
"403","AIMP2",2,2
"404","AIPL1",1,2
"405","AIRE",3,3
"406","AJAP1",1,1
"407","AJM1",2,2
"408","AJUBA",1,1
"409","AK5",1,1
"410","AK6",1,1
"411","AK7",2,3
"412","AK8",1,1
"413","AK9",2,2
"414","AKAP1",1,1
"415","AKAP10",2,2
"416","AKAP11",2,2
"417","AKAP12",1,1
"418","AKAP13",6,7
"419","AKAP14",1,1
"420","AKAP17A",2,2
"421","AKAP3",3,3
"422","AKAP4",1,1
"423","AKAP6",2,2
"424","AKAP7",2,2
"425","AKAP8",2,2
"426","AKAP8L",2,2
"427","AKAP9",4,4
"428","AKIP1",1,1
"429","AKIRIN2",1,1
"430","AKNA",1,1
"431","AKR1B1",1,1
"432","AKR1B10",1,2
"433","AKR1B15",1,1
"434","AKR1C1",2,2
"435","AKR1C2",1,2
"436","AKR1C4",2,2
"437","AKR1C8P",1,1
"438","AKR7A2",1,1
"439","AKR7A3",1,1
"440","AKT3",1,1
"441","AKTIP",3,3
"442","AL035461.3",1,1
"443","AL109984.1",1,1
"444","AL121899.2",5,7
"445","AL133467.6",1,1
"446","AL133500.1",1,1
"447","AL136295.1",1,1
"448","AL136982.4",2,2
"449","AL353804.4",4,4
"450","AL353804.6",2,2
"451","AL353804.7",2,2
"452","AL441992.2",1,1
"453","AL592490.1",5,5
"454","AL645922.1",3,3
"455","AL645933.1",1,1
"456","AL662899.2",1,1
"457","AL669918.1",2,2
"458","ALAD",1,1
"459","ALAS1",2,2
"460","ALAS2",1,1
"461","ALB",3,3
"462","ALCAM",2,2
"463","ALDH16A1",1,1
"464","ALDH18A1",1,1
"465","ALDH1A1",1,1
"466","ALDH1A2",4,4
"467","ALDH1A3",3,3
"468","ALDH1B1",2,2
"469","ALDH1L1",1,1
"470","ALDH1L2",3,3
"471","ALDH2",1,1
"472","ALDH3A1",3,3
"473","ALDH3B1",1,1
"474","ALDH3B2",2,3
"475","ALDH5A1",1,1
"476","ALDH6A1",3,3
"477","ALDH9A1",3,3
"478","ALDOA",1,1
"479","ALDOB",2,2
"480","ALDOC",1,1
"481","ALG1",1,1
"482","ALG10",1,1
"483","ALG10B",2,2
"484","ALG11",1,1
"485","ALG12",2,2
"486","ALG13",6,6
"487","ALG2",2,2
"488","ALG3",2,2
"489","ALG5",1,1
"490","ALG6",1,1
"491","ALG8",1,1
"492","ALG9",1,1
"493","ALK",2,2
"494","ALKAL1",1,1
"495","ALKBH1",1,1
"496","ALKBH2",3,3
"497","ALKBH3",2,2
"498","ALKBH5",1,1
"499","ALKBH6",1,1
"500","ALKBH7",1,1
"501","ALLC",2,2
"502","ALMS1",4,4
"503","ALMS1P1",1,1
"504","ALOX12",1,1
"505","ALOX12B",2,2
"506","ALOX15",2,2
"507","ALOX15B",2,2
